vae_model_z,VAE_ModeMass_z,VAE_SportKorea_z,VEA_StreetNatural_z,VAE_OutdoorNormcore_z,VAE_EleganceTrad_z,VAE_GirlyDesigner_z,VAE_OfficeManush_z,merchandise
0.3287024,0.8038583,0.44344515,0.93698925,0.7316512,0.9273648,1.0720226,0.72244334,ラッフルスリーブT_3
0.8892662,0.2853719,1.7621876,2.0236554,0.22897609,0.03355901,1.8296489,0.2685848,ラッフルスリーブT_4
0.24204758,0.05116634,0.6860586,0.45882896,0.72765017,0.71863043,0.37645084,1.5929147,リブハイネックT_1
0.93796635,0.18957266,2.569494,1.0198547,0.4700478,0.014044806,0.833489,0.40563846,リブハイネックT_0
1.0857452,0.60889935,0.5632426,0.8156974,0.79039645,0.88162845,0.06323313,0.8184899,リブハイネックT_2
0.8718005,1.2933536,0.5673387,1.489199,0.55254877,1.0422767,0.04448288,2.0001922,リブハイネックT_3
1.0007272,0.6995882,0.486164,0.019438444,0.23451832,1.3946267,1.8793823,1.4130129,リブハイネックTボーダー_0
0.42279917,0.6806015,0.49457094,1.2808441,0.9944783,0.6102038,0.25501055,0.44547752,リブハイネックTボーダー_1
1.4651951,1.036289,0.8522971,1.0389285,0.077331476,0.11856811,0.77882576,0.98228556,リブハイネックT_4
0.34500837,0.09791306,2.424346,0.6466081,1.0694307,0.5722742,0.8377017,0.80044645,リブハイネックTボーダー_2
1.406894,0.51918775,0.1233802,0.11934057,0.5568464,2.2707896,0.08150469,1.0974483,リブハイネックTボーダー_3
0.8205019,1.21391,1.2280239,1.1272968,0.01074928,1.9454376,1.2805554,0.14079802,リブハイネックTボーダー_4
0.25619355,1.3731161,0.7548893,0.4053168,1.1296237,0.6700971,0.62391835,0.6316248,ワッフルT_0
1.4585412,1.116543,0.0049212924,1.4729388,1.7773721,1.0873977,0.69450134,0.37572557,ワッフルT_1
1.1606197,0.18625717,1.58622,1.3185661,0.29099923,1.3530796,0.20853792,0.34287122,ワッフルT_2
0.59798896,1.6193175,1.4549823,1.0988775,0.087536365,0.031751335,0.23407312,1.9349419,ワッフルT_3
0.09494375,0.29534617,1.9589674,1.878284,0.080285646,1.1982307,1.021392,0.032862972,ワッフルT_4
